lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
0.001,0.01,0.001,99,,,,,,,,,,,,,,,,,,,,,,,,
,,,99,0.06341598182916641,0.26468393206596375,0.07713625580072403,0.01846317946910858,0.07299234718084335,0.10588666051626205,0.011090908199548721,0.01315886341035366,29.080299377441406,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1312.0,0,,
0.001,0.01,0.001,199,,,,,,,,,,,,,,,,,,,,,,,,
,,,199,0.03737296536564827,0.2100921869277954,0.07291307300329208,0.02763209491968155,0.02787257358431816,0.055097006261348724,0.012699926272034645,0.017078589648008347,49.43342971801758,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1401.0,0,,
0.001,0.01,0.001,299,,,,,,,,,,,,,,,,,,,,,,,,
,,,299,0.03167751058936119,0.18987636268138885,0.06454296410083771,0.0246784258633852,0.013186875730752945,0.034545641392469406,0.01414160430431366,0.017816267907619476,84.94100952148438,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1509.0,0,,
0.001,0.01,0.001,399,,,,,,,,,,,,,,,,,,,,,,,,
,,,399,0.034478187561035156,0.20159168541431427,0.06371091306209564,0.02089107781648636,0.015802768990397453,0.028350237756967545,0.015724632889032364,0.017068656161427498,131.7254180908203,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1566.0,0,,
0.001,0.01,0.001,499,,,,,,,,,,,,,,,,,,,,,,,,
,,,499,0.026200896129012108,0.1801101118326187,0.07113027572631836,0.017633602023124695,0.009215760044753551,0.020746303722262383,0.011901479214429855,0.01761058159172535,177.75930786132812,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1624.0,0,,
0.0009762902393018333,0.009762902393018327,0.0009762902393018333,599,,,,,,,,,,,,,,,,,,,,,,,,
