lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
0.001,0.01,0.001,99,,,,,,,,,,,,,,,,,,,,,,,,
,,,99,0.1660647839307785,0.5060075521469116,0.023617610335350037,0.024139514192938805,0.07453154772520065,0.1663142591714859,0.0033079301938414574,0.022511184215545654,15.799466133117676,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2054.0,0,,
0.001,0.01,0.001,199,,,,,,,,,,,,,,,,,,,,,,,,
,,,199,0.08636629581451416,0.3858228027820587,0.02567782998085022,0.029909875243902206,0.040306754410266876,0.10960482060909271,0.0028049773536622524,0.019816970452666283,30.731544494628906,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2211.0,0,,
0.001,0.01,0.001,299,,,,,,,,,,,,,,,,,,,,,,,,
,,,299,0.09701437503099442,0.3910481035709381,0.019135287031531334,0.02319108508527279,0.020758965983986855,0.06173250079154968,0.0038650822825729847,0.018117299303412437,57.77957534790039,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2408.0,0,,
0.001,0.01,0.001,399,,,,,,,,,,,,,,,,,,,,,,,,
,,,399,0.10436409711837769,0.4156774878501892,0.01675058901309967,0.019474884495139122,0.016719071194529533,0.039691321551799774,0.0025841942988336086,0.017145153135061264,90.0456771850586,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2583.0,0,,
0.001,0.01,0.001,499,,,,,,,,,,,,,,,,,,,,,,,,
,,,499,0.07280010730028152,0.3268328309059143,0.021126732230186462,0.018074961379170418,0.011793353594839573,0.03102286159992218,0.002801717258989811,0.016272082924842834,121.79851531982422,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2840.0,0,,
0.0009762902393018333,0.009762902393018327,0.0009762902393018333,599,,,,,,,,,,,,,,,,,,,,,,,,
,,,599,0.07514595240354538,0.34412404894828796,0.018284985795617104,0.017777567729353905,0.014328045770525932,0.029685867950320244,0.0031407629139721394,0.014933030121028423,141.8192138671875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,3088.0,0,,
0.0009529116391387575,0.009529116391387564,0.0009529116391387575,699,,,,,,,,,,,,,,,,,,,,,,,,
,,,699,0.09163323044776917,0.3455958366394043,0.02489900216460228,0.01638098992407322,0.014815063215792179,0.02771119400858879,0.005760330706834793,0.01652897521853447,171.00277709960938,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,3341.0,0,,
0.0009300928714144201,0.00930092871414419,0.0009300928714144201,799,,,,,,,,,,,,,,,,,,,,,,,,
,,,799,0.07275641709566116,0.32018816471099854,0.021493736654520035,0.015623988583683968,0.012932506389915943,0.024505170062184334,0.003542814403772354,0.016348738223314285,186.6431427001953,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,3684.0,0,,
0.0009078205301781964,0.009078205301781956,0.0009078205301781964,899,,,,,,,,,,,,,,,,,,,,,,,,
,,,899,0.07410304993391037,0.32220736145973206,0.019550668075680733,0.015721162781119347,0.010211288928985596,0.024607904255390167,0.005417973734438419,0.015685198828577995,204.2670135498047,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4125.0,0,,
0.0008860815305032171,0.008860815305032167,0.0008860815305032171,999,,,,,,,,,,,,,,,,,,,,,,,,
,,,999,0.0725795105099678,0.3122125566005707,0.016633879393339157,0.015262630768120289,0.007803784217685461,0.02053406648337841,0.003262094222009182,0.014330154284834862,216.7442169189453,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4691.0,0,,
0.0008648631007990185,0.00864863100799018,0.0008648631007990185,1099,,,,,,,,,,,,,,,,,,,,,,,,
,,,1099,0.07651527225971222,0.32317087054252625,0.019209425896406174,0.016538964584469795,0.015646805986762047,0.022629810497164726,0.004612017422914505,0.016286786645650864,229.24998474121094,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5348.0,0,,
0.0008441527753082735,0.008441527753082734,0.0008441527753082735,1199,,,,,,,,,,,,,,,,,,,,,,,,
,,,1199,0.05664026737213135,0.28558096289634705,0.018478363752365112,0.017641114071011543,0.007546582724899054,0.020510515198111534,0.0056344736367464066,0.01592487469315529,245.5470428466797,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,6642.0,0,,
0.0008239383867832009,0.008239383867832016,0.0008239383867832009,1299,,,,,,,,,,,,,,,,,,,,,,,,
