lr-Adam/geometry,train/min_step,train_params/lambda_sds,train/loss_sparsity,train/loss_sds,train/loss_opaque,step,train_params/lambda_opaque,train_params/lambda_orient,train/grad_norm,lr-Adam/background,epoch,train_params/lambda_sparsity,train/loss_orient,train/max_step
0.01,,,,,,0,,,,0.001,,,,
,20.0,1.0,0.23456090688705444,299.9132995605469,0.14448848366737366,0,0.0,10.0,24.491357803344727,,0,1.0,0.016685830429196358,980.0
0.01,,,,,,1,,,,0.001,,,,
,20.0,1.0,0.2848958969116211,237.1884765625,0.15210777521133423,1,0.0,10.197999954223633,21.780197143554688,,0,1.0,0.022532112896442413,980.0
0.01,,,,,,2,,,,0.001,,,,
,20.0,1.0,0.23806610703468323,132.12901306152344,0.1446593552827835,2,0.0,10.395999908447266,16.25601577758789,,0,1.0,0.017249194905161858,980.0
0.01,,,,,,3,,,,0.001,,,,
,20.0,1.0,0.186335027217865,47.753562927246094,0.09309478104114532,3,0.0,10.593999862670898,9.772774696350098,,0,1.0,0.01674310304224491,980.0
0.01,,,,,,4,,,,0.001,,,,
,20.0,1.0,0.20666709542274475,0.7081120014190674,0.11452344059944153,4,0.0,10.791999816894531,1.1900520324707031,,0,1.0,0.016394825652241707,980.0
0.01,,,,,,5,,,,0.001,,,,
,20.0,1.0,0.35904014110565186,144.4967041015625,0.2572232484817505,5,0.0,10.989999771118164,16.999805450439453,,0,1.0,0.01871766336262226,980.0
0.01,,,,,,6,,,,0.001,,,,
,20.0,1.0,0.17224393784999847,25.03590965270996,0.07883521914482117,6,0.0,11.187999725341797,7.076144218444824,,0,1.0,0.01682457886636257,980.0
0.01,,,,,,7,,,,0.001,,,,
,20.0,1.0,0.2805801033973694,161.842041015625,0.18740278482437134,7,0.0,11.38599967956543,17.991222381591797,,0,1.0,0.016870873048901558,980.0
0.01,,,,,,8,,,,0.001,,,,
,20.0,1.0,0.2684707045555115,463.5723876953125,0.1764681041240692,8,0.0,11.583999633789062,30.449052810668945,,0,1.0,0.017212463542819023,980.0
0.01,,,,,,9,,,,0.001,,,,
,20.0,1.0,0.2526932954788208,405.031005859375,0.16017600893974304,9,0.0,11.781999588012695,28.46158790588379,,0,1.0,0.01655822992324829,980.0
0.01,,,,,,10,,,,0.001,,,,
,20.0,1.0,0.23938949406147003,78.58944702148438,0.14794909954071045,10,0.0,11.979999542236328,12.537100791931152,,0,1.0,0.016454540193080902,980.0
0.01,,,,,,11,,,,0.001,,,,
,20.0,1.0,0.28851136565208435,266.152587890625,0.1638452112674713,11,0.0,12.178000450134277,23.071739196777344,,0,1.0,0.019365880638360977,980.0
0.01,,,,,,12,,,,0.001,,,,
,20.0,1.0,0.3984573781490326,65.2986068725586,0.2895282506942749,12,0.0,12.37600040435791,11.427913665771484,,0,1.0,0.018897293135523796,980.0
0.01,,,,,,13,,,,0.001,,,,
,20.0,1.0,0.4677194356918335,132.74102783203125,0.33339381217956543,13,0.0,12.574000358581543,16.29361915588379,,0,1.0,0.020548952743411064,980.0
0.01,,,,,,14,,,,0.001,,,,
