train_params/lambda_sds,train/grad_norm,train/max_step,train_params/lambda_normal_consistency,step,lr-AdamW,train/loss_sds,train/loss_normal_consistency,train/min_step,epoch
,,,,0,0.001,,,,
1.0,6.853655815124512,500.0,0.0,0,,23.486297607421875,0.0075086746364831924,20.0,0
,,,,1,0.001,,,,
1.0,20.543582916259766,500.0,0.0,1,,211.01937866210938,0.0075086746364831924,20.0,0
,,,,2,0.001,,,,
1.0,19.2453556060791,500.0,0.0,2,,185.19183349609375,0.0075086746364831924,20.0,0
,,,,3,0.001,,,,
1.0,75.57854461669922,500.0,0.0,3,,2856.05810546875,0.0075086746364831924,20.0,0
,,,,4,0.001,,,,
1.0,12.345564842224121,500.0,0.0,4,,76.20648193359375,0.0075086746364831924,20.0,0
,,,,5,0.001,,,,
1.0,60.66755294799805,500.0,0.0,5,,1840.27587890625,0.0075086746364831924,20.0,0
,,,,6,0.001,,,,
1.0,63.56593322753906,500.0,0.0,6,,2020.31396484375,0.0075086746364831924,20.0,0
,,,,7,0.001,,,,
1.0,14.76296329498291,500.0,0.0,7,,108.97254180908203,0.0075086746364831924,20.0,0
,,,,8,0.001,,,,
1.0,8.248147010803223,500.0,0.0,8,,34.015960693359375,0.012144215404987335,20.0,0
,,,,9,0.001,,,,
1.0,42.26105499267578,500.0,0.0,9,,892.9984130859375,0.020870089530944824,20.0,0
,,,,10,0.001,,,,
1.0,3.0425827503204346,500.0,0.0,10,,4.628654479980469,0.020870089530944824,20.0,0
,,,,11,0.001,,,,
1.0,3.532590389251709,500.0,0.0,11,,6.239597320556641,0.030079588294029236,20.0,0
,,,,12,0.001,,,,
1.0,15.801410675048828,500.0,0.0,12,,124.84228515625,0.030079588294029236,20.0,0
,,,,13,0.001,,,,
1.0,13.061164855957031,500.0,0.0,13,,85.29701232910156,0.03473009169101715,20.0,0
,,,,14,0.001,,,,
1.0,42.73632049560547,500.0,0.0,14,,913.1964721679688,0.03852855786681175,20.0,0
,,,,15,0.001,,,,
1.0,12.180093765258789,500.0,0.0,15,,74.1773452758789,0.043639834970235825,20.0,0
,,,,16,0.001,,,,
1.0,38.807090759277344,500.0,0.0,16,,752.9951171875,0.04898817464709282,20.0,0
,,,,17,0.001,,,,
1.0,29.41585922241211,500.0,0.0,17,,432.64642333984375,0.04898817464709282,20.0,0
,,,,18,0.001,,,,
1.0,5.803273677825928,500.0,0.0,18,,16.838993072509766,0.05408630147576332,20.0,0
,,,,19,0.001,,,,
1.0,44.84148406982422,500.0,0.0,19,,1005.37939453125,0.05912908539175987,20.0,0
,,,,20,0.001,,,,
1.0,39.979373931884766,500.0,0.0,20,,799.1752319335938,0.061100248247385025,20.0,0
,,,,21,0.001,,,,
1.0,86.1416244506836,500.0,0.0,21,,3710.18994140625,0.06511512398719788,20.0,0
,,,,22,0.001,,,,
1.0,70.19054412841797,500.0,0.0,22,,2463.3564453125,0.07005278021097183,20.0,0
,,,,23,0.001,,,,
1.0,47.182273864746094,500.0,0.0,23,,1113.0833740234375,0.07605274766683578,20.0,0
,,,,24,0.001,,,,
