train/grad_norm,train_params/lambda_sds,train/min_step,train/max_step,epoch,step,train_params/lambda_normal_consistency,lr-AdamW,train/loss_sds
,,,,,0,,0.01,
155.93382263183594,1.0,20.0,500.0,0,0,0.0,,12157.6767578125
,,,,,1,,0.01,
62.11045455932617,1.0,20.0,500.0,0,1,0.0,,1928.854248046875
,,,,,2,,0.01,
231.11572265625,1.0,20.0,500.0,0,2,0.0,,26707.240234375
,,,,,3,,0.01,
144.23117065429688,1.0,20.0,500.0,0,3,0.0,,10401.3154296875
,,,,,4,,0.01,
9.617926597595215,1.0,20.0,500.0,0,4,0.0,,46.25225830078125
,,,,,5,,0.01,
10.618316650390625,1.0,20.0,500.0,0,5,0.0,,56.37432098388672
,,,,,6,,0.01,
99.69497680664062,1.0,20.0,500.0,0,6,0.0,,4969.54443359375
,,,,,7,,0.01,
3.1841959953308105,1.0,20.0,500.0,0,7,0.0,,5.069551467895508
,,,,,8,,0.01,
115.53587341308594,1.0,20.0,500.0,0,8,0.0,,6674.26904296875
,,,,,9,,0.01,
144.46136474609375,1.0,20.0,500.0,0,9,0.0,,10434.5419921875
,,,,,10,,0.01,
57.32488250732422,1.0,20.0,500.0,0,10,0.0,,1643.0711669921875
,,,,,11,,0.01,
118.82811737060547,1.0,20.0,500.0,0,11,0.0,,7060.060546875
,,,,,12,,0.01,
135.18873596191406,1.0,20.0,500.0,0,12,0.0,,9137.998046875
,,,,,13,,0.01,
63.822059631347656,1.0,20.0,500.0,0,13,0.0,,2036.627685546875
,,,,,14,,0.01,
147.92588806152344,1.0,20.0,500.0,0,14,0.0,,10941.033203125
,,,,,15,,0.01,
95.84953308105469,1.0,20.0,500.0,0,15,0.0,,4593.56640625
,,,,,16,,0.01,
169.06431579589844,1.0,20.0,500.0,0,16,0.0,,14291.37109375
,,,,,17,,0.01,
89.70662689208984,1.0,20.0,500.0,0,17,0.0,,4023.6396484375
,,,,,18,,0.01,
64.14928436279297,1.0,20.0,500.0,0,18,0.0,,2057.565185546875
,,,,,19,,0.01,
188.0465545654297,1.0,20.0,500.0,0,19,0.0,,17680.75390625
,,,,,20,,0.01,
19.282472610473633,1.0,20.0,500.0,0,20,0.0,,185.90687561035156
,,,,,21,,0.01,
115.52938079833984,1.0,20.0,500.0,0,21,0.0,,6673.5185546875
,,,,,22,,0.01,
112.7789306640625,1.0,20.0,500.0,0,22,0.0,,6359.5439453125
,,,,,23,,0.01,
114.75943756103516,1.0,20.0,500.0,0,23,0.0,,6584.8642578125
,,,,,24,,0.01,
190.7560272216797,1.0,20.0,500.0,0,24,0.0,,18193.9296875
,,,,,25,,0.01,
311.7928161621094,1.0,20.0,500.0,0,25,0.0,,48607.3828125
,,,,,26,,0.01,
251.92454528808594,1.0,20.0,500.0,0,26,0.0,,31732.98828125
,,,,,27,,0.01,
70.68922424316406,1.0,20.0,500.0,0,27,0.0,,2498.4833984375
,,,,,28,,0.01,
132.024658203125,1.0,20.0,500.0,0,28,0.0,,8715.255859375
,,,,,29,,0.01,
122.9197769165039,1.0,20.0,500.0,0,29,0.0,,7554.6357421875
,,,,,30,,0.01,
180.76406860351562,1.0,20.0,500.0,0,30,0.0,,16337.82421875
,,,,,31,,0.01,
51.15918731689453,1.0,20.0,500.0,0,31,0.0,,1308.6312255859375
,,,,,32,,0.01,
92.9065170288086,1.0,20.0,500.0,0,32,0.0,,4315.810546875
,,,,,33,,0.01,
119.99188232421875,1.0,20.0,500.0,0,33,0.0,,7199.025390625
,,,,,34,,0.01,
269.6464538574219,1.0,20.0,500.0,0,34,0.0,,36354.6015625
,,,,,35,,0.01,
16.573684692382812,1.0,20.0,500.0,0,35,0.0,,137.343505859375
,,,,,36,,0.01,
110.98080444335938,1.0,20.0,500.0,0,36,0.0,,6158.369140625
,,,,,37,,0.01,
151.1373291015625,1.0,20.0,500.0,0,37,0.0,,11421.2451171875
,,,,,38,,0.01,
15.200824737548828,1.0,20.0,500.0,0,38,0.0,,115.53254699707031
,,,,,39,,0.01,
46.26508712768555,1.0,20.0,500.0,0,39,0.0,,1070.2291259765625
,,,,,40,,0.01,
111.78092956542969,1.0,20.0,500.0,0,40,0.0,,6247.48828125
,,,,,41,,0.01,
120.26939392089844,1.0,20.0,500.0,0,41,0.0,,7232.36328125
,,,,,42,,0.01,
106.516357421875,1.0,20.0,500.0,0,42,0.0,,5672.8671875
,,,,,43,,0.01,
70.04389190673828,1.0,20.0,500.0,0,43,0.0,,2453.0732421875
,,,,,44,,0.01,
17.943283081054688,1.0,20.0,500.0,0,44,0.0,,160.98072814941406
,,,,,45,,0.01,
61.414207458496094,1.0,20.0,500.0,0,45,0.0,,1885.8525390625
,,,,,46,,0.01,
6.7028422355651855,1.0,20.0,500.0,0,46,0.0,,22.464048385620117
,,,,,47,,0.01,
118.72306060791016,1.0,20.0,500.0,0,47,0.0,,7047.5830078125
,,,,,48,,0.01,
119.43584442138672,1.0,20.0,500.0,0,48,0.0,,7132.4599609375
,,,,,49,,0.01,
49.336029052734375,1.0,20.0,500.0,0,49,0.0,,1217.02197265625
,,,,,50,,0.01,
90.93264770507812,1.0,20.0,500.0,0,50,0.0,,4134.37353515625
,,,,,51,,0.01,
118.04273223876953,1.0,20.0,500.0,0,51,0.0,,6967.04345703125
,,,,,52,,0.01,
144.74453735351562,1.0,20.0,500.0,0,52,0.0,,10475.490234375
,,,,,53,,0.01,
43.76177215576172,1.0,20.0,500.0,0,53,0.0,,957.54638671875
,,,,,54,,0.01,
152.54794311523438,1.0,20.0,500.0,0,54,0.0,,11635.4375
,,,,,55,,0.01,
7.155162811279297,1.0,20.0,500.0,0,55,0.0,,25.598176956176758
,,,,,56,,0.01,
17.344404220581055,1.0,20.0,500.0,0,56,0.0,,150.4141845703125
,,,,,57,,0.01,
36.70132064819336,1.0,20.0,500.0,0,57,0.0,,673.4935302734375
,,,,,58,,0.01,
159.82968139648438,1.0,20.0,500.0,0,58,0.0,,12772.7626953125
,,,,,59,,0.01,
121.38058471679688,1.0,20.0,500.0,0,59,0.0,,7366.623046875
,,,,,60,,0.01,
5.065515041351318,1.0,20.0,500.0,0,60,0.0,,12.829721450805664
,,,,,61,,0.01,
207.8168182373047,1.0,20.0,500.0,0,61,0.0,,21593.9140625
,,,,,62,,0.01,
121.58418273925781,1.0,20.0,500.0,0,62,0.0,,7391.3564453125
,,,,,63,,0.01,
44.68267059326172,1.0,20.0,500.0,0,63,0.0,,998.2704467773438
,,,,,64,,0.01,
77.31295776367188,1.0,20.0,500.0,0,64,0.0,,2988.64697265625
,,,,,65,,0.01,
32.8845100402832,1.0,20.0,500.0,0,65,0.0,,540.6954956054688
,,,,,66,,0.01,
111.09233856201172,1.0,20.0,500.0,0,66,0.0,,6170.75390625
,,,,,67,,0.01,
10.039234161376953,1.0,20.0,500.0,0,67,0.0,,50.39311599731445
,,,,,68,,0.01,
83.22492980957031,1.0,20.0,500.0,0,68,0.0,,3463.1943359375
,,,,,69,,0.01,
41.84151840209961,1.0,20.0,500.0,0,69,0.0,,875.3563232421875
,,,,,70,,0.01,
70.95415496826172,1.0,20.0,500.0,0,70,0.0,,2517.24609375
,,,,,71,,0.01,
103.3927230834961,1.0,20.0,500.0,0,71,0.0,,5345.02783203125
,,,,,72,,0.01,
17.99938201904297,1.0,20.0,500.0,0,72,0.0,,161.9888458251953
,,,,,73,,0.01,
97.11100006103516,1.0,20.0,500.0,0,73,0.0,,4715.27294921875
,,,,,74,,0.01,
77.25835418701172,1.0,20.0,500.0,0,74,0.0,,2984.4267578125
,,,,,75,,0.01,
101.05322265625,1.0,20.0,500.0,0,75,0.0,,5105.876953125
,,,,,76,,0.01,
4.511641025543213,1.0,20.0,500.0,0,76,0.0,,10.177452087402344
,,,,,77,,0.01,
113.20126342773438,1.0,20.0,500.0,0,77,0.0,,6407.2626953125
,,,,,78,,0.01,
199.8072509765625,1.0,20.0,500.0,0,78,0.0,,19961.46875
,,,,,79,,0.01,
112.65938568115234,1.0,20.0,500.0,0,79,0.0,,6346.06787109375
,,,,,80,,0.01,
30.453279495239258,1.0,20.0,500.0,0,80,0.0,,463.7011413574219
,,,,,81,,0.01,
31.423982620239258,1.0,20.0,500.0,0,81,0.0,,493.73333740234375
,,,,,82,,0.01,
144.90988159179688,1.0,20.0,500.0,0,82,0.0,,10499.4375
,,,,,83,,0.01,
86.48725128173828,1.0,20.0,500.0,0,83,0.0,,3740.0224609375
,,,,,84,,0.01,
75.0606918334961,1.0,20.0,500.0,0,84,0.0,,2817.0537109375
,,,,,85,,0.01,
62.86374282836914,1.0,20.0,500.0,0,85,0.0,,1975.925048828125
,,,,,86,,0.01,
17.437702178955078,1.0,20.0,500.0,0,86,0.0,,152.03671264648438
,,,,,87,,0.01,
139.14198303222656,1.0,20.0,500.0,0,87,0.0,,9680.24609375
,,,,,88,,0.01,
164.4748077392578,1.0,20.0,500.0,0,88,0.0,,13525.98046875
,,,,,89,,0.01,
142.24581909179688,1.0,20.0,500.0,0,89,0.0,,10116.935546875
,,,,,90,,0.01,
6.785125255584717,1.0,20.0,500.0,0,90,0.0,,23.018962860107422
,,,,,91,,0.01,
97.8626937866211,1.0,20.0,500.0,0,91,0.0,,4788.5537109375
,,,,,92,,0.01,
183.73333740234375,1.0,20.0,500.0,0,92,0.0,,16878.96875
,,,,,93,,0.01,
163.51553344726562,1.0,20.0,500.0,0,93,0.0,,13368.6650390625
,,,,,94,,0.01,
153.88719177246094,1.0,20.0,500.0,0,94,0.0,,11840.6328125
,,,,,95,,0.01,
