lr-Adam,train_params/lambda_normal_consistency,train/loss_normal_consistency,train/max_step,train/loss_mask,train/max_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train/grad_norm_3d,train_params/lambda_rgb,step,train/loss_rgb,train_params/lambda_sd,train/grad_norm,train/loss_sd_3d,train/loss_sd,train_params/lambda_laplacian_smoothness,train/min_step,train/min_step_3d,epoch
0.001,,,,,,,,,,0,,,,,,,,,
,1000.0,0.11934851855039597,600.0,0.16806048154830933,600.0,1.0,100.0,6.251053333282471,1000.0,0,0.0329151526093483,0.02500000037252903,54.75294876098633,19.53783416748047,1498.942626953125,0.0,200.0,200.0,0
0.001,,,,,,,,,,1,,,,,,,,,
,1000.0,0.11876372247934341,600.0,0.16798771917819977,600.0,1.0,100.0,20.345903396606445,1000.0,1,0.0325121134519577,0.02500000037252903,168.31536865234375,206.97787475585938,14165.03125,0.0,200.0,200.0,0
0.001,,,,,,,,,,2,,,,,,,,,
,1000.0,0.11825618892908096,600.0,0.1679694950580597,600.0,1.0,100.0,24.763683319091797,1000.0,2,0.03223203867673874,0.02500000037252903,107.30919647216797,306.6199951171875,5757.6318359375,0.0,200.0,200.0,0
0.001,,,,,,,,,,3,,,,,,,,,
,1000.0,0.11776772141456604,600.0,0.16784846782684326,600.0,1.0,100.0,15.408746719360352,1000.0,3,0.03196289762854576,0.02500000037252903,125.91604614257812,118.71472930908203,7927.42578125,0.0,200.0,200.0,0
0.001,,,,,,,,,,4,,,,,,,,,
,1000.0,0.11734092980623245,600.0,0.16762952506542206,600.0,1.0,100.0,13.596848487854004,1000.0,4,0.03171200677752495,0.02500000037252903,210.6204376220703,92.43714141845703,22180.484375,0.0,200.0,200.0,0
0.001,,,,,,,,,,5,,,,,,,,,
,1000.0,0.1169339194893837,600.0,0.1677687168121338,600.0,1.0,100.0,13.17332935333252,1000.0,5,0.031507041305303574,0.02500000037252903,263.7632751464844,86.76830291748047,34785.53515625,0.0,200.0,200.0,0
0.001,,,,,,,,,,6,,,,,,,,,
,1000.0,0.11653631925582886,600.0,0.16759270429611206,600.0,1.0,100.0,9.785981178283691,1000.0,6,0.03130003809928894,0.02500000037252903,312.33056640625,47.88271713256836,48775.1953125,0.0,200.0,200.0,0
0.001,,,,,,,,,,7,,,,,,,,,
,1000.0,0.11613037437200546,600.0,0.16738657653331757,600.0,1.0,100.0,8.027246475219727,1000.0,7,0.03108365088701248,0.02500000037252903,95.33375549316406,32.21834182739258,4544.26318359375,0.0,200.0,200.0,0
0.001,,,,,,,,,,8,,,,,,,,,
,1000.0,0.11574217677116394,600.0,0.16741615533828735,600.0,1.0,100.0,13.409171104431152,1000.0,8,0.030893947929143906,0.02500000037252903,217.3562774658203,89.90293884277344,23621.875,0.0,200.0,200.0,0
0.001,,,,,,,,,,9,,,,,,,,,
,1000.0,0.11537032574415207,600.0,0.16715818643569946,600.0,1.0,100.0,20.370107650756836,1000.0,9,0.030704889446496964,0.02500000037252903,214.17755126953125,207.4706268310547,22936.009765625,0.0,200.0,200.0,0
0.001,,,,,,,,,,10,,,,,,,,,
,1000.0,0.11500222980976105,600.0,0.16694346070289612,600.0,1.0,100.0,6.378992557525635,1000.0,10,0.030519118532538414,0.02500000037252903,324.0855407714844,20.34577178955078,52515.71875,0.0,200.0,200.0,0
0.001,,,,,,,,,,11,,,,,,,,,
