lr-Adam/geometry.feature_network,train_params/lambda_3d_sd,train_params/lambda_rgb,train/loss_rgb,train/min_step,trian/loss_normal_smoothness_2d,train_params/lambda_sd,train_params/lambda_mask,lr-Adam/geometry.density_network,train_params/lambda_orient,lr-Adam/geometry.encoding,train/max_step,train_params/lambda_sparsity,train_params/lambda_opaque,train/loss_mask,step,train/loss_sd,train/loss_sd_3d,train/max_step_3d,train_params/lambda_normal_smoothness_2d,train/grad_norm_3d,epoch,train/loss_sparsity,train/loss_opaque,train/grad_norm,train/min_step_3d
0.001,,,,,,,,0.001,,0.01,,,,,0,,,,,,,,,,
,1.0,1000.0,0.057108744978904724,200.0,0.00020541342382784933,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.863017201423645,0,55.224666595458984,17.033672332763672,600.0,1000.0,5.836723804473877,0,0.258055180311203,0.14153385162353516,10.50948715209961,200.0
0.001,,,,,,,,0.001,,0.01,,,,,1,,,,,,,,,,
,1.0,1000.0,0.05710588023066521,200.0,0.000226989621296525,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8627960681915283,1,127.58503723144531,31.29026985168457,600.0,1000.0,7.910786151885986,0,0.25803932547569275,0.14162969589233398,15.974043846130371,200.0
0.001,,,,,,,,0.001,,0.01,,,,,2,,,,,,,,,,
,1.0,1000.0,0.057097792625427246,200.0,0.0002596881240606308,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8623645305633545,2,366.6680908203125,27.746334075927734,600.0,1000.0,7.449340343475342,0,0.25794434547424316,0.14133977890014648,27.080181121826172,200.0
0.001,,,,,,,,0.001,,0.01,,,,,3,,,,,,,,,,
,1.0,1000.0,0.05709078162908554,200.0,0.00023755589791107923,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.862205982208252,3,554.2172241210938,61.460243225097656,600.0,1000.0,11.08695125579834,0,0.2580016255378723,0.14138801395893097,33.29315948486328,200.0
0.001,,,,,,,,0.001,,0.01,,,,,4,,,,,,,,,,
,1.0,1000.0,0.057086896151304245,200.0,0.00023182299628388137,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8619911670684814,4,263.5869140625,14.284387588500977,600.0,1000.0,5.344976425170898,0,0.25814327597618103,0.14139872789382935,22.96026611328125,200.0
0.001,,,,,,,,0.001,,0.01,,,,,5,,,,,,,,,,
