train_params/lambda_mask,train/loss_normal_consistency,train/loss_rgb,step,train_params/lambda_normal_consistency,epoch,train/loss_sd_3d,train/grad_norm,train_params/lambda_laplacian_smoothness,lr-Adam,train/max_step,train_params/lambda_rgb,train/grad_norm_3d,train/min_step,train/min_step_3d,train/max_step_3d,train/loss_sd,train_params/lambda_3d_sd,train/loss_mask,train_params/lambda_sd
,,,0,,,,,,0.001,,,,,,,,,,
100.0,0.07790909707546234,0.01722896099090576,0,1000.0,0,32.149749755859375,45.00886154174805,0.0,,600.0,1000.0,8.018696784973145,200.0,200.0,600.0,1012.8988647460938,1.0,0.25587397813796997,0.02500000037252903
,,,1,,,,,,0.001,,,,,,,,,,
100.0,0.07751286029815674,0.01673075184226036,1,1000.0,0,121.23931884765625,158.37716674804688,0.0,,600.0,1000.0,15.571725845336914,200.0,200.0,600.0,12541.6630859375,1.0,0.2559066414833069,0.02500000037252903
,,,2,,,,,,0.001,,,,,,,,,,
100.0,0.07720116525888443,0.016370568424463272,2,1000.0,0,273.6739196777344,71.93763732910156,0.0,,600.0,1000.0,23.395465850830078,200.0,200.0,600.0,2587.51171875,1.0,0.25588250160217285,0.02500000037252903
,,,3,,,,,,0.001,,,,,,,,,,
100.0,0.07697391510009766,0.016044188290834427,3,1000.0,0,131.33456420898438,115.24209594726562,0.0,,600.0,1000.0,16.207069396972656,200.0,200.0,600.0,6640.37060546875,1.0,0.2558166980743408,0.02500000037252903
,,,4,,,,,,0.001,,,,,,,,,,
100.0,0.07669031620025635,0.01573958434164524,4,1000.0,0,126.72264862060547,185.40798950195312,0.0,,600.0,1000.0,15.919965744018555,200.0,200.0,600.0,17188.0625,1.0,0.25576484203338623,0.02500000037252903
,,,5,,,,,,0.001,,,,,,,,,,
100.0,0.07647421211004257,0.015463772229850292,5,1000.0,0,84.69232940673828,236.38385009765625,0.0,,600.0,1000.0,13.014785766601562,200.0,200.0,600.0,27938.66015625,1.0,0.25576251745224,0.02500000037252903
,,,6,,,,,,0.001,,,,,,,,,,
100.0,0.07625945657491684,0.015189326368272305,6,1000.0,0,36.094905853271484,296.6152648925781,0.0,,600.0,1000.0,8.496459007263184,200.0,200.0,600.0,43990.3046875,1.0,0.25577312707901,0.02500000037252903
,,,7,,,,,,0.001,,,,,,,,,,
100.0,0.07605373114347458,0.0149458609521389,7,1000.0,0,28.780363082885742,72.8713150024414,0.0,,600.0,1000.0,7.586878776550293,200.0,200.0,600.0,2655.114501953125,1.0,0.2557624578475952,0.02500000037252903
,,,8,,,,,,0.001,,,,,,,,,,
100.0,0.07584992051124573,0.014700266532599926,8,1000.0,0,139.43727111816406,398.4755859375,0.0,,600.0,1000.0,16.69953727722168,200.0,200.0,600.0,79391.390625,1.0,0.2558556795120239,0.02500000037252903
,,,9,,,,,,0.001,,,,,,,,,,
100.0,0.07567789405584335,0.014491784386336803,9,1000.0,0,173.03610229492188,153.50503540039062,0.0,,600.0,1000.0,18.603015899658203,200.0,200.0,600.0,11781.8974609375,1.0,0.25580713152885437,0.02500000037252903
,,,10,,,,,,0.001,,,,,,,,,,
100.0,0.0755062848329544,0.014288152568042278,10,1000.0,0,27.739648818969727,172.46902465820312,0.0,,600.0,1000.0,7.4484429359436035,200.0,200.0,600.0,14872.7841796875,1.0,0.25576192140579224,0.02500000037252903
,,,11,,,,,,0.001,,,,,,,,,,
100.0,0.07533615827560425,0.014082688838243484,11,1000.0,0,33.82621765136719,115.54185485839844,0.0,,600.0,1000.0,8.225110054016113,200.0,200.0,600.0,6674.9599609375,1.0,0.25572487711906433,0.02500000037252903
,,,12,,,,,,0.001,,,,,,,,,,
100.0,0.07516653835773468,0.013876362703740597,12,1000.0,0,62.164344787597656,80.60389709472656,0.0,,600.0,1000.0,11.150277137756348,200.0,200.0,600.0,3248.494140625,1.0,0.2555773854255676,0.02500000037252903
,,,13,,,,,,0.001,,,,,,,,,,
100.0,0.07499954104423523,0.013683520257472992,13,1000.0,0,160.84136962890625,151.71156311035156,0.0,,600.0,1000.0,17.935516357421875,200.0,200.0,600.0,11508.19921875,1.0,0.25556689500808716,0.02500000037252903
,,,14,,,,,,0.001,,,,,,,,,,
100.0,0.07483886927366257,0.01348784752190113,14,1000.0,0,117.40908813476562,204.35243225097656,0.0,,600.0,1000.0,15.32377815246582,200.0,200.0,600.0,20879.95703125,1.0,0.2555987536907196,0.02500000037252903
,,,15,,,,,,0.001,,,,,,,,,,
100.0,0.0746840238571167,0.013300782069563866,15,1000.0,0,158.8029022216797,97.67505645751953,0.0,,600.0,1000.0,17.82149887084961,200.0,200.0,600.0,4770.20751953125,1.0,0.25556814670562744,0.02500000037252903
,,,16,,,,,,0.001,,,,,,,,,,
100.0,0.07453158497810364,0.013117654249072075,16,1000.0,0,68.97626495361328,318.59625244140625,0.0,,600.0,1000.0,11.745320320129395,200.0,200.0,600.0,50751.78125,1.0,0.25561028718948364,0.02500000037252903
,,,17,,,,,,0.001,,,,,,,,,,
100.0,0.07438081502914429,0.012942957691848278,17,1000.0,0,149.7593231201172,222.207763671875,0.0,,600.0,1000.0,17.30660629272461,200.0,200.0,600.0,24688.146484375,1.0,0.2555435597896576,0.02500000037252903
,,,18,,,,,,0.001,,,,,,,,,,
100.0,0.07423488050699234,0.012772312387824059,18,1000.0,0,116.35484313964844,117.2008056640625,0.0,,600.0,1000.0,15.2548246383667,200.0,200.0,600.0,6868.0146484375,1.0,0.2555374801158905,0.02500000037252903
,,,19,,,,,,0.001,,,,,,,,,,
