train_params/lambda_sparsity,train/loss_sparsity,lr-Adam/background,train_params/lambda_sds,lr-Adam/geometry,train_params/lambda_orient,epoch,train/min_step,train/loss_orient,train/loss_opaque,train/max_step,step,train/loss_sds,train_params/lambda_opaque,train/grad_norm
,,0.001,,0.01,,,,,,,0,,,
1.0,0.23456087708473206,,1.0,,10.0,0,20.0,0.01668592356145382,0.14448846876621246,980.0,0,486.4547119140625,0.0,31.191495895385742
,,0.001,,0.01,,,,,,,1,,,
1.0,0.3373376727104187,,1.0,,10.197999954223633,0,20.0,0.01894141361117363,0.2257251888513565,980.0,1,279.3599853515625,0.0,23.637258529663086
,,0.001,,0.01,,,,,,,2,,,
1.0,0.2796621322631836,,1.0,,10.395999908447266,0,20.0,0.018322784453630447,0.18009305000305176,980.0,2,134.1124725341797,0.0,16.377574920654297
,,0.001,,0.01,,,,,,,3,,,
1.0,0.1925162971019745,,1.0,,10.593999862670898,0,20.0,0.016907015815377235,0.09928299486637115,980.0,3,410.10821533203125,0.0,28.639421463012695
,,0.001,,0.01,,,,,,,4,,,
1.0,0.3532579839229584,,1.0,,10.791999816894531,0,20.0,0.017409542575478554,0.26323097944259644,980.0,4,109.52735900878906,0.0,14.800497055053711
,,0.001,,0.01,,,,,,,5,,,
1.0,0.2584998607635498,,1.0,,10.989999771118164,0,20.0,0.018753020092844963,0.15618714690208435,980.0,5,494.8306579589844,0.0,31.45888328552246
,,0.001,,0.01,,,,,,,6,,,
1.0,0.35178399085998535,,1.0,,11.187999725341797,0,20.0,0.016701441258192062,0.2604699730873108,980.0,6,1249.468994140625,0.0,49.9893798828125
,,0.001,,0.01,,,,,,,7,,,
1.0,0.2257472276687622,,1.0,,11.38599967956543,0,20.0,0.01664973981678486,0.1334920972585678,980.0,7,192.1623077392578,0.0,19.60420036315918
,,0.001,,0.01,,,,,,,8,,,
1.0,0.23231706023216248,,1.0,,11.583999633789062,0,20.0,0.016461599618196487,0.1408899575471878,980.0,8,565.757568359375,0.0,33.63800048828125
,,0.001,,0.01,,,,,,,9,,,
1.0,0.2115914523601532,,1.0,,11.781999588012695,0,20.0,0.016502946615219116,0.11936614662408829,980.0,9,603.572265625,0.0,34.74398422241211
,,0.001,,0.01,,,,,,,10,,,
1.0,0.3387495279312134,,1.0,,11.979999542236328,0,20.0,0.02211173065006733,0.19503965973854065,980.0,10,262.5206298828125,0.0,22.91377830505371
,,0.001,,0.01,,,,,,,11,,,
1.0,0.2752327024936676,,1.0,,12.178000450134277,0,20.0,0.016717620193958282,0.1824483424425125,980.0,11,472.93212890625,0.0,30.754907608032227
,,0.001,,0.01,,,,,,,12,,,
1.0,0.31874197721481323,,1.0,,12.37600040435791,0,20.0,0.020959772169589996,0.18248295783996582,980.0,12,277.83636474609375,0.0,23.572711944580078
,,0.001,,0.01,,,,,,,13,,,
1.0,0.32143253087997437,,1.0,,12.574000358581543,0,20.0,0.017534365877509117,0.22736364603042603,980.0,13,238.56263732910156,0.0,21.843196868896484
,,0.001,,0.01,,,,,,,14,,,
1.0,0.3895667791366577,,1.0,,12.772000312805176,0,20.0,0.017326388508081436,0.30351054668426514,980.0,14,2277.0810546875,0.0,67.48453521728516
,,0.001,,0.01,,,,,,,15,,,
1.0,0.21756860613822937,,1.0,,12.970000267028809,0,20.0,0.017752477899193764,0.12191472947597504,980.0,15,446.77593994140625,0.0,29.892337799072266
,,0.001,,0.01,,,,,,,16,,,
