step,train/grad_norm,train/max_step,lr-Adam,train_params/lambda_sds,train_params/lambda_normal_consistency,train/loss_sds,train/loss_normal_consistency,train/min_step,epoch
0,,,0.01,,,,,,
0,321.4728088378906,500.0,,1.0,10000.0,51672.375,0.0912233367562294,20.0,0
1,,,0.01,,,,,,
1,73.72425079345703,500.0,,1.0,10000.0,2717.6328125,0.0912233293056488,20.0,0
2,,,0.01,,,,,,
2,211.085693359375,500.0,,1.0,10000.0,22278.5859375,0.0912233293056488,20.0,0
3,,,0.01,,,,,,
3,382.4578857421875,500.0,,1.0,10000.0,73137.015625,0.0912233293056488,20.0,0
4,,,0.01,,,,,,
4,12.083985328674316,500.0,,1.0,10000.0,73.0113525390625,0.0912233293056488,20.0,0
5,,,0.01,,,,,,
5,13.853315353393555,500.0,,1.0,10000.0,95.95716857910156,0.0912233293056488,20.0,0
6,,,0.01,,,,,,
6,145.2319793701172,500.0,,1.0,10000.0,10546.1650390625,0.0912233367562294,20.0,0
7,,,0.01,,,,,,
7,4.2158002853393555,500.0,,1.0,10000.0,8.88648509979248,0.0912233293056488,20.0,0
8,,,0.01,,,,,,
8,243.00582885742188,500.0,,1.0,10000.0,29525.916015625,0.0912233293056488,20.0,0
9,,,0.01,,,,,,
9,100.9089126586914,500.0,,1.0,10000.0,5091.30419921875,0.0912233293056488,20.0,0
10,,,0.01,,,,,,
10,69.0032730102539,500.0,,1.0,10000.0,2380.72607421875,0.0912233293056488,20.0,0
11,,,0.01,,,,,,
11,275.47210693359375,500.0,,1.0,10000.0,37942.44140625,0.0912233293056488,20.0,0
12,,,0.01,,,,,,
12,264.37335205078125,500.0,,1.0,10000.0,34946.63671875,0.0912233293056488,20.0,0
13,,,0.01,,,,,,
13,71.8304672241211,500.0,,1.0,10000.0,2579.80810546875,0.0912233293056488,20.0,0
14,,,0.01,,,,,,
14,233.4482879638672,500.0,,1.0,10000.0,27249.05078125,0.0912233367562294,20.0,0
15,,,0.01,,,,,,
15,71.00003814697266,500.0,,1.0,10000.0,2520.50244140625,0.0912233293056488,20.0,0
16,,,0.01,,,,,,
16,275.1399841308594,500.0,,1.0,10000.0,37851.0078125,0.08658698946237564,20.0,0
17,,,0.01,,,,,,
17,89.8050537109375,500.0,,1.0,10000.0,4032.4736328125,0.08296650648117065,20.0,0
18,,,0.01,,,,,,
18,117.54429626464844,500.0,,1.0,10000.0,6908.33056640625,0.07952138036489487,20.0,0
19,,,0.01,,,,,,
19,189.1216583251953,500.0,,1.0,10000.0,17883.501953125,0.07651366293430328,20.0,0
20,,,0.01,,,,,,
20,18.06056785583496,500.0,,1.0,10000.0,163.09207153320312,0.07651365548372269,20.0,0
21,,,0.01,,,,,,
21,96.44232940673828,500.0,,1.0,10000.0,4650.5615234375,0.0736331045627594,20.0,0
22,,,0.01,,,,,,
22,123.2673110961914,500.0,,1.0,10000.0,7597.4150390625,0.070937380194664,20.0,0
23,,,0.01,,,,,,
23,176.0039825439453,500.0,,1.0,10000.0,15488.701171875,0.06861817091703415,20.0,0
24,,,0.01,,,,,,
24,203.1024169921875,500.0,,1.0,10000.0,20625.296875,0.06646965444087982,20.0,0
25,,,0.01,,,,,,
25,291.4384765625,500.0,,1.0,10000.0,42468.1953125,0.0645233690738678,20.0,0
26,,,0.01,,,,,,
26,290.56640625,500.0,,1.0,10000.0,42214.421875,0.06296607851982117,20.0,0
27,,,0.01,,,,,,
27,63.828121185302734,500.0,,1.0,10000.0,2037.0146484375,0.06145472824573517,20.0,0
28,,,0.01,,,,,,
28,234.79869079589844,500.0,,1.0,10000.0,27565.2109375,0.06001116707921028,20.0,0
29,,,0.01,,,,,,
29,164.3634490966797,500.0,,1.0,10000.0,13507.671875,0.058628614991903305,20.0,0
30,,,0.01,,,,,,
30,461.1304016113281,500.0,,1.0,10000.0,106320.609375,0.057313308119773865,20.0,0
31,,,0.01,,,,,,
31,68.44270324707031,500.0,,1.0,10000.0,2342.20166015625,0.05607152357697487,20.0,0
32,,,0.01,,,,,,
32,84.09012603759766,500.0,,1.0,10000.0,3535.57470703125,0.05491146445274353,20.0,0
33,,,0.01,,,,,,
33,118.21585083007812,500.0,,1.0,10000.0,6987.494140625,0.053790368139743805,20.0,0
34,,,0.01,,,,,,
34,385.15789794921875,500.0,,1.0,10000.0,74173.3046875,0.052772365510463715,20.0,0
35,,,0.01,,,,,,
35,10.257230758666992,500.0,,1.0,10000.0,52.60538864135742,0.05185028910636902,20.0,0
36,,,0.01,,,,,,
36,120.88905334472656,500.0,,1.0,10000.0,7307.08203125,0.05097074434161186,20.0,0
37,,,0.01,,,,,,
37,361.8165588378906,500.0,,1.0,10000.0,65455.609375,0.05014042556285858,20.0,0
38,,,0.01,,,,,,
38,19.449321746826172,500.0,,1.0,10000.0,189.1380615234375,0.04937329888343811,20.0,0
39,,,0.01,,,,,,
39,62.938819885253906,500.0,,1.0,10000.0,1980.6474609375,0.0486486591398716,20.0,0
40,,,0.01,,,,,,
40,136.29086303710938,500.0,,1.0,10000.0,9287.599609375,0.047989215701818466,20.0,0
41,,,0.01,,,,,,
41,159.58819580078125,500.0,,1.0,10000.0,12734.1953125,0.047989215701818466,20.0,0
42,,,0.01,,,,,,
42,92.38722229003906,500.0,,1.0,10000.0,4267.69970703125,0.047401681542396545,20.0,0
43,,,0.01,,,,,,
