lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
0.001,0.01,0.001,99,,,,,,,,,,,,,,,,,,,,,,,,
,,,99,0.17455866932868958,0.5914689898490906,0.031124919652938843,0.03080790676176548,0.06850991398096085,0.16220664978027344,0.00392806064337492,0.024307336658239365,17.16152000427246,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1981.0,0,,
0.001,0.01,0.001,199,,,,,,,,,,,,,,,,,,,,,,,,
,,,199,0.14760488271713257,0.5162517428398132,0.025242943316698074,0.02879425324499607,0.04624538868665695,0.10910715162754059,0.00401550717651844,0.021386370062828064,30.701400756835938,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2153.0,0,,
0.001,0.01,0.001,299,,,,,,,,,,,,,,,,,,,,,,,,
,,,299,0.12994319200515747,0.4614408612251282,0.021732550114393234,0.02585461363196373,0.03413661569356918,0.07969126105308533,0.0047768717631697655,0.019297180697321892,48.82719039916992,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2322.0,0,,
0.001,0.01,0.001,399,,,,,,,,,,,,,,,,,,,,,,,,
,,,399,0.11789987981319427,0.43587443232536316,0.02145269885659218,0.023896286264061928,0.027165301144123077,0.05479667708277702,0.00699224416166544,0.0192293468862772,66.42579650878906,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2508.0,0,,
0.001,0.01,0.001,499,,,,,,,,,,,,,,,,,,,,,,,,
,,,499,0.10103700309991837,0.3968714773654938,0.016553200781345367,0.023009905591607094,0.020567676052451134,0.04917910322546959,0.004098846111446619,0.017368530854582787,82.29624938964844,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2777.0,0,,
0.0009762902393018333,0.009762902393018327,0.0009762902393018333,599,,,,,,,,,,,,,,,,,,,,,,,,
,,,599,0.09091012179851532,0.38055506348609924,0.01612372323870659,0.02206963486969471,0.021633364260196686,0.04685939848423004,0.004477908834815025,0.016784988343715668,95.75933837890625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,3007.0,0,,
0.0009529116391387575,0.009529116391387564,0.0009529116391387575,699,,,,,,,,,,,,,,,,,,,,,,,,
