train/max_step,train_params/lambda_opaque,train/loss_sparsity,train/loss_sds,train/loss_opaque,lr-Adam/geometry,train_params/lambda_sds,train/min_step,lr-Adam/background,train_params/lambda_orient,train_params/lambda_sparsity,epoch,train/loss_orient,train/grad_norm,step
,,,,,0.01,,,0.001,,,,,,0
980.0,0.0,0.23456090688705444,457.81439208984375,0.14448848366737366,,1.0,20.0,,10.0,1.0,0,0.016685830429196358,30.25935935974121,0
,,,,,0.01,,,0.001,,,,,,1
980.0,0.0,0.2849199175834656,1138.53759765625,0.1521000862121582,,1.0,20.0,,10.197999954223633,1.0,0,0.022530395537614822,47.71870803833008,1
,,,,,0.01,,,0.001,,,,,,2
980.0,0.0,0.2379191666841507,78.68910217285156,0.14459560811519623,,1.0,20.0,,10.395999908447266,1.0,0,0.01725073903799057,12.54504680633545,2
,,,,,0.01,,,0.001,,,,,,3
980.0,0.0,0.18613888323307037,17.444107055664062,0.09304587543010712,,1.0,20.0,,10.593999862670898,1.0,0,0.016757752746343613,5.906624794006348,3
,,,,,0.01,,,0.001,,,,,,4
980.0,0.0,0.2061944603919983,0.653212308883667,0.11435955762863159,,1.0,20.0,,10.791999816894531,1.0,0,0.01643208973109722,1.1429892778396606,4
,,,,,0.01,,,0.001,,,,,,5
980.0,0.0,0.35742008686065674,226.39122009277344,0.2568204700946808,,1.0,20.0,,10.989999771118164,1.0,0,0.018744977191090584,21.278684616088867,5
,,,,,0.01,,,0.001,,,,,,6
980.0,0.0,0.17175297439098358,10.099284172058105,0.07871534675359726,,1.0,20.0,,11.187999725341797,1.0,0,0.01693583093583584,4.494281768798828,6
,,,,,0.01,,,0.001,,,,,,7
980.0,0.0,0.27895498275756836,209.16314697265625,0.1869049370288849,,1.0,20.0,,11.38599967956543,1.0,0,0.01695120334625244,20.453025817871094,7
,,,,,0.01,,,0.001,,,,,,8
980.0,0.0,0.26617491245269775,169.9461669921875,0.17547452449798584,,1.0,20.0,,11.583999633789062,1.0,0,0.017080502584576607,18.436168670654297,8
,,,,,0.01,,,0.001,,,,,,9
980.0,0.0,0.25071507692337036,159.5748291015625,0.15962792932987213,,1.0,20.0,,11.781999588012695,1.0,0,0.016625571995973587,17.86475944519043,9
,,,,,0.01,,,0.001,,,,,,10
980.0,0.0,0.2378084361553192,67.49252319335938,0.14760375022888184,,1.0,20.0,,11.979999542236328,1.0,0,0.016614053398370743,11.618306159973145,10
,,,,,0.01,,,0.001,,,,,,11
980.0,0.0,0.2868155837059021,170.2564697265625,0.1641666293144226,,1.0,20.0,,12.178000450134277,1.0,0,0.019735807552933693,18.452993392944336,11
,,,,,0.01,,,0.001,,,,,,12
980.0,0.0,0.39509567618370056,60.078369140625,0.28945082426071167,,1.0,20.0,,12.37600040435791,1.0,0,0.019033992663025856,10.961603164672852,12
,,,,,0.01,,,0.001,,,,,,13
980.0,0.0,0.4626811742782593,614.5796508789062,0.3328521251678467,,1.0,20.0,,12.574000358581543,1.0,0,0.020851731300354004,35.05936813354492,13
,,,,,0.01,,,0.001,,,,,,14
980.0,0.0,0.3714295029640198,20.000099182128906,0.234472393989563,,1.0,20.0,,12.772000312805176,1.0,0,0.02077883668243885,6.324571132659912,14
,,,,,0.01,,,0.001,,,,,,15
980.0,0.0,0.27264004945755005,16.1028995513916,0.15261831879615784,,1.0,20.0,,12.970000267028809,1.0,0,0.01983657293021679,5.675015449523926,15
,,,,,0.01,,,0.001,,,,,,16
980.0,0.0,0.21768414974212646,340.6464538574219,0.12705998122692108,,1.0,20.0,,13.168000221252441,1.0,0,0.017114391550421715,26.101587295532227,16
,,,,,0.01,,,0.001,,,,,,17
980.0,0.0,0.267620325088501,45.36407470703125,0.17630994319915771,,1.0,20.0,,13.366000175476074,1.0,0,0.01727537252008915,9.525132179260254,17
,,,,,0.01,,,0.001,,,,,,18
980.0,0.0,0.31674015522003174,267.32763671875,0.23114441335201263,,1.0,20.0,,13.564000129699707,1.0,0,0.01742897368967533,23.12261390686035,18
,,,,,0.01,,,0.001,,,,,,19
980.0,0.0,0.3684881329536438,128.83712768554688,0.27334731817245483,,1.0,20.0,,13.76200008392334,1.0,0,0.018582209944725037,16.052234649658203,19
,,,,,0.01,,,0.001,,,,,,20
980.0,0.0,0.23640696704387665,106.73347473144531,0.14585724472999573,,1.0,20.0,,13.960000038146973,1.0,0,0.017166735604405403,14.61050796508789,20
,,,,,0.01,,,0.001,,,,,,21
980.0,0.0,0.38844558596611023,182.49302673339844,0.2961808443069458,,1.0,20.0,,14.157999992370605,1.0,0,0.018697211518883705,19.1046085357666,21
,,,,,0.01,,,0.001,,,,,,22
980.0,0.0,0.20203998684883118,17.584300994873047,0.11250242590904236,,1.0,20.0,,14.355999946594238,1.0,0,0.017343686893582344,5.930312156677246,22
,,,,,0.01,,,0.001,,,,,,23
980.0,0.0,0.2880863547325134,58.20771789550781,0.20012778043746948,,1.0,20.0,,14.553999900817871,1.0,0,0.016760889440774918,10.78959846496582,23
,,,,,0.01,,,0.001,,,,,,24
980.0,0.0,0.4261043071746826,534.4016723632812,0.3165781795978546,,1.0,20.0,,14.751999855041504,1.0,0,0.02060205116868019,32.69255828857422,24
,,,,,0.01,,,0.001,,,,,,25
980.0,0.0,0.3027684688568115,0.0023211997468024492,0.18348023295402527,,1.0,20.0,,14.949999809265137,1.0,0,0.021894404664635658,0.06813515722751617,25
,,,,,0.01,,,0.001,,,,,,26
980.0,0.0,0.300320565700531,602.2298583984375,0.21584933996200562,,1.0,20.0,,15.14799976348877,1.0,0,0.017178522422909737,34.705326080322266,26
,,,,,0.01,,,0.001,,,,,,27
980.0,0.0,0.4015966057777405,604.66259765625,0.2584300935268402,,1.0,20.0,,15.345999717712402,1.0,0,0.022222917526960373,34.775352478027344,27
,,,,,0.01,,,0.001,,,,,,28
980.0,0.0,0.2149852216243744,10.721267700195312,0.1258145272731781,,1.0,20.0,,15.543999671936035,1.0,0,0.017994821071624756,4.630608558654785,28
,,,,,0.01,,,0.001,,,,,,29
980.0,0.0,0.23908253014087677,112.63703155517578,0.1545964777469635,,1.0,20.0,,15.741999626159668,1.0,0,0.017245996743440628,15.009132385253906,29
,,,,,0.01,,,0.001,,,,,,30
980.0,0.0,0.3720265328884125,570.3519287109375,0.2701635956764221,,1.0,20.0,,15.9399995803833,1.0,0,0.020739490166306496,33.77430725097656,30
,,,,,0.01,,,0.001,,,,,,31
980.0,0.0,0.3562941551208496,169.23037719726562,0.2629860043525696,,1.0,20.0,,16.13800048828125,1.0,0,0.01949051208794117,18.397302627563477,31
,,,,,0.01,,,0.001,,,,,,32
980.0,0.0,0.28549090027809143,0.11925184726715088,0.20057544112205505,,1.0,20.0,,16.336000442504883,1.0,0,0.018228132277727127,0.4883683919906616,32
,,,,,0.01,,,0.001,,,,,,33
980.0,0.0,0.3265998363494873,793.1708984375,0.24225959181785583,,1.0,20.0,,16.534000396728516,1.0,0,0.018476400524377823,39.82890701293945,33
,,,,,0.01,,,0.001,,,,,,34
980.0,0.0,0.3224613666534424,0.313145250082016,0.24311891198158264,,1.0,20.0,,16.73200035095215,1.0,0,0.01725783385336399,0.7913851737976074,34
,,,,,0.01,,,0.001,,,,,,35
980.0,0.0,0.24255086481571198,348.36474609375,0.1609419286251068,,1.0,20.0,,16.93000030517578,1.0,0,0.01775122806429863,26.395633697509766,35
,,,,,0.01,,,0.001,,,,,,36
980.0,0.0,0.21708860993385315,99.87689208984375,0.13111917674541473,,1.0,20.0,,17.128000259399414,1.0,0,0.017770247533917427,14.133427619934082,36
,,,,,0.01,,,0.001,,,,,,37
980.0,0.0,0.25006064772605896,0.024111289530992508,0.15536805987358093,,1.0,20.0,,17.326000213623047,1.0,0,0.020637167617678642,0.21959641575813293,37
,,,,,0.01,,,0.001,,,,,,38
980.0,0.0,0.29806971549987793,233.44393920898438,0.21469902992248535,,1.0,20.0,,17.52400016784668,1.0,0,0.017579728737473488,21.607587814331055,38
,,,,,0.01,,,0.001,,,,,,39
980.0,0.0,0.3832187056541443,0.09218543767929077,0.24210484325885773,,1.0,20.0,,17.722000122070312,1.0,0,0.023380013182759285,0.42938432097435,39
,,,,,0.01,,,0.001,,,,,,40
980.0,0.0,0.23847638070583344,168.05950927734375,0.15296602249145508,,1.0,20.0,,17.920000076293945,1.0,0,0.017775459215044975,18.33354949951172,40
,,,,,0.01,,,0.001,,,,,,41
980.0,0.0,0.28532934188842773,320.96435546875,0.16280101239681244,,1.0,20.0,,18.118000030517578,1.0,0,0.021985339000821114,25.33631134033203,41
,,,,,0.01,,,0.001,,,,,,42
980.0,0.0,0.2959059178829193,2.169394016265869,0.21312527358531952,,1.0,20.0,,18.31599998474121,1.0,0,0.017308395355939865,2.0829758644104004,42
,,,,,0.01,,,0.001,,,,,,43
980.0,0.0,0.26105713844299316,325.5469665527344,0.17442256212234497,,1.0,20.0,,18.513999938964844,1.0,0,0.017568163573741913,25.516542434692383,43
,,,,,0.01,,,0.001,,,,,,44
980.0,0.0,0.33803224563598633,1.03902006149292,0.2500114440917969,,1.0,20.0,,18.711999893188477,1.0,0,0.019862519577145576,1.4415408372879028,44
,,,,,0.01,,,0.001,,,,,,45
980.0,0.0,0.21229799091815948,325.37762451171875,0.12725895643234253,,1.0,20.0,,18.90999984741211,1.0,0,0.01666337065398693,25.509904861450195,45
,,,,,0.01,,,0.001,,,,,,46
980.0,0.0,0.3471168875694275,556.3841552734375,0.22995440661907196,,1.0,20.0,,19.107999801635742,1.0,0,0.022563863545656204,33.35818099975586,46
,,,,,0.01,,,0.001,,,,,,47
980.0,0.0,0.440036416053772,10.308110237121582,0.3096266984939575,,1.0,20.0,,19.305999755859375,1.0,0,0.022821776568889618,4.540509223937988,47
,,,,,0.01,,,0.001,,,,,,48
980.0,0.0,0.22745652496814728,942.4354248046875,0.14048461616039276,,1.0,20.0,,19.503999710083008,1.0,0,0.019055698066949844,43.41510009765625,48
,,,,,0.01,,,0.001,,,,,,49
980.0,0.0,0.1979914903640747,51.02494430541992,0.10962624102830887,,1.0,20.0,,19.70199966430664,1.0,0,0.01765388995409012,10.101974487304688,49
,,,,,0.01,,,0.001,,,,,,50
980.0,0.0,0.4130401015281677,4.720877170562744,0.26063886284828186,,1.0,20.0,,19.899999618530273,1.0,0,0.022970277816057205,3.0727438926696777,50
,,,,,0.01,,,0.001,,,,,,51
980.0,0.0,0.2659177780151367,0.10155703127384186,0.18616390228271484,,1.0,20.0,,20.097999572753906,1.0,0,0.01772456057369709,0.45068174600601196,51
,,,,,0.01,,,0.001,,,,,,52
980.0,0.0,0.23717325925827026,40.821983337402344,0.15091846883296967,,1.0,20.0,,20.29599952697754,1.0,0,0.017823172733187675,9.03570556640625,52
,,,,,0.01,,,0.001,,,,,,53
980.0,0.0,0.23898446559906006,573.5167236328125,0.15663501620292664,,1.0,20.0,,20.493999481201172,1.0,0,0.01762714982032776,33.867881774902344,53
,,,,,0.01,,,0.001,,,,,,54
980.0,0.0,0.26837438344955444,300.2392883300781,0.17907023429870605,,1.0,20.0,,20.691999435424805,1.0,0,0.021111471578478813,24.504663467407227,54
,,,,,0.01,,,0.001,,,,,,55
980.0,0.0,0.31657272577285767,328.194091796875,0.23761440813541412,,1.0,20.0,,20.889999389648438,1.0,0,0.01796818897128105,25.620073318481445,55
,,,,,0.01,,,0.001,,,,,,56
980.0,0.0,0.41367679834365845,35.56330871582031,0.27630895376205444,,1.0,20.0,,21.08799934387207,1.0,0,0.022779986262321472,8.433659553527832,56
,,,,,0.01,,,0.001,,,,,,57
980.0,0.0,0.40074849128723145,1359.94091796875,0.3052389621734619,,1.0,20.0,,21.285999298095703,1.0,0,0.02043307013809681,52.15248489379883,57
,,,,,0.01,,,0.001,,,,,,58
980.0,0.0,0.23977243900299072,315.37237548828125,0.15231367945671082,,1.0,20.0,,21.483999252319336,1.0,0,0.01846955344080925,25.11463165283203,58
,,,,,0.01,,,0.001,,,,,,59
980.0,0.0,0.19731956720352173,417.79730224609375,0.10890403389930725,,1.0,20.0,,21.68199920654297,1.0,0,0.018329134210944176,28.906652450561523,59
,,,,,0.01,,,0.001,,,,,,60
980.0,0.0,0.5042725205421448,254.7957763671875,0.38158297538757324,,1.0,20.0,,21.8799991607666,1.0,0,0.02279725670814514,22.574134826660156,60
,,,,,0.01,,,0.001,,,,,,61
980.0,0.0,0.25014716386795044,207.6597900390625,0.16177953779697418,,1.0,20.0,,22.077999114990234,1.0,0,0.018224459141492844,20.379390716552734,61
,,,,,0.01,,,0.001,,,,,,62
980.0,0.0,0.34740281105041504,494.9085693359375,0.25608009099960327,,1.0,20.0,,22.275999069213867,1.0,0,0.019700028002262115,31.46135902404785,62
,,,,,0.01,,,0.001,,,,,,63
980.0,0.0,0.2404935210943222,161.01577758789062,0.1574181169271469,,1.0,20.0,,22.474000930786133,1.0,0,0.01736856810748577,17.94523811340332,63
,,,,,0.01,,,0.001,,,,,,64
980.0,0.0,0.20585279166698456,8.835987091064453,0.1206083595752716,,1.0,20.0,,22.672000885009766,1.0,0,0.01828119345009327,4.2038044929504395,64
,,,,,0.01,,,0.001,,,,,,65
980.0,0.0,0.23502783477306366,0.7968857884407043,0.14996564388275146,,1.0,20.0,,22.8700008392334,1.0,0,0.016821367666125298,1.262446641921997,65
,,,,,0.01,,,0.001,,,,,,66
980.0,0.0,0.22051718831062317,337.00653076171875,0.13143394887447357,,1.0,20.0,,23.06800079345703,1.0,0,0.017941202968358994,25.961761474609375,66
,,,,,0.01,,,0.001,,,,,,67
980.0,0.0,0.36542072892189026,179.46096801757812,0.24233639240264893,,1.0,20.0,,23.266000747680664,1.0,0,0.02216147445142269,18.945234298706055,67
,,,,,0.01,,,0.001,,,,,,68
980.0,0.0,0.2928119897842407,1.5136810541152954,0.20349448919296265,,1.0,20.0,,23.464000701904297,1.0,0,0.019855670630931854,1.739931583404541,68
,,,,,0.01,,,0.001,,,,,,69
980.0,0.0,0.45293858647346497,398.3747253417969,0.3089826703071594,,1.0,20.0,,23.66200065612793,1.0,0,0.024429716169834137,28.22675132751465,69
,,,,,0.01,,,0.001,,,,,,70
980.0,0.0,0.4730817675590515,280.1114501953125,0.37497758865356445,,1.0,20.0,,23.860000610351562,1.0,0,0.021534675732254982,23.669029235839844,70
,,,,,0.01,,,0.001,,,,,,71
980.0,0.0,0.2563185691833496,0.1687920242547989,0.17274163663387299,,1.0,20.0,,24.058000564575195,1.0,0,0.01754455268383026,0.5810198187828064,71
,,,,,0.01,,,0.001,,,,,,72
980.0,0.0,0.3563936948776245,9.689774513244629,0.20541399717330933,,1.0,20.0,,24.256000518798828,1.0,0,0.02492828480899334,4.402220726013184,72
,,,,,0.01,,,0.001,,,,,,73
980.0,0.0,0.28122982382774353,0.5162353515625,0.1979166865348816,,1.0,20.0,,24.45400047302246,1.0,0,0.020682504400610924,1.0161056518554688,73
,,,,,0.01,,,0.001,,,,,,74
980.0,0.0,0.34053319692611694,422.23095703125,0.23250965774059296,,1.0,20.0,,24.652000427246094,1.0,0,0.021645614877343178,29.059627532958984,74
,,,,,0.01,,,0.001,,,,,,75
980.0,0.0,0.22810393571853638,262.77655029296875,0.13981422781944275,,1.0,20.0,,24.850000381469727,1.0,0,0.020729413256049156,22.924945831298828,75
,,,,,0.01,,,0.001,,,,,,76
980.0,0.0,0.1952461302280426,236.40121459960938,0.1083773672580719,,1.0,20.0,,25.04800033569336,1.0,0,0.019028421491384506,21.744020462036133,76
,,,,,0.01,,,0.001,,,,,,77
980.0,0.0,0.4171048104763031,14.518213272094727,0.32526645064353943,,1.0,20.0,,25.246000289916992,1.0,0,0.021044228225946426,5.388545989990234,77
,,,,,0.01,,,0.001,,,,,,78
980.0,0.0,0.18600288033485413,166.5613555908203,0.09499406814575195,,1.0,20.0,,25.444000244140625,1.0,0,0.018530506640672684,18.251649856567383,78
,,,,,0.01,,,0.001,,,,,,79
980.0,0.0,0.4378100633621216,184.9447021484375,0.3000580072402954,,1.0,20.0,,25.642000198364258,1.0,0,0.02307634800672531,19.23250961303711,79
,,,,,0.01,,,0.001,,,,,,80
980.0,0.0,0.23217803239822388,6.927159786224365,0.14277777075767517,,1.0,20.0,,25.84000015258789,1.0,0,0.01725473254919052,3.7221391201019287,80
,,,,,0.01,,,0.001,,,,,,81
980.0,0.0,0.35413432121276855,526.732177734375,0.24576736986637115,,1.0,20.0,,26.038000106811523,1.0,0,0.020814375951886177,32.457115173339844,81
,,,,,0.01,,,0.001,,,,,,82
980.0,0.0,0.2306847870349884,246.50767517089844,0.11998148262500763,,1.0,20.0,,26.236000061035156,1.0,0,0.019434796646237373,22.203948974609375,82
,,,,,0.01,,,0.001,,,,,,83
980.0,0.0,0.2005949318408966,117.2023696899414,0.11140133440494537,,1.0,20.0,,26.43400001525879,1.0,0,0.016165437176823616,15.310281753540039,83
,,,,,0.01,,,0.001,,,,,,84
980.0,0.0,0.19379374384880066,160.05862426757812,0.10339877754449844,,1.0,20.0,,26.631999969482422,1.0,0,0.017960987985134125,17.89181900024414,84
