lr-AdamW,train/max_step,train_params/lambda_sds,train/grad_norm,epoch,train/min_step,train/loss_sds,step,train_params/lambda_normal_consistency,train/loss_normal_consistency
0.001,,,,,,,0,,
,500.0,1.0,13.81476879119873,0,20.0,95.42391967773438,0,0.0,0.03798231482505798
0.001,,,,,,,1,,
,500.0,1.0,137.2632293701172,0,20.0,9420.5966796875,1,0.0,0.037982311099767685
0.001,,,,,,,2,,
,500.0,1.0,67.53697204589844,0,20.0,2280.62109375,2,0.0,0.03798231482505798
0.001,,,,,,,3,,
,500.0,1.0,124.31512451171875,0,20.0,7727.125,3,0.0,0.037982311099767685
0.001,,,,,,,4,,
,500.0,1.0,38.362483978271484,0,20.0,735.8400268554688,4,0.0,0.03798231482505798
0.001,,,,,,,5,,
,500.0,1.0,179.64088439941406,0,20.0,16135.4248046875,5,0.0,0.037982311099767685
0.001,,,,,,,6,,
,500.0,1.0,102.53363800048828,0,20.0,5256.5732421875,6,0.0,0.037982311099767685
0.001,,,,,,,7,,
,500.0,1.0,26.735797882080078,0,20.0,357.40142822265625,7,0.0,0.03798231482505798
0.001,,,,,,,8,,
,500.0,1.0,15.976317405700684,0,20.0,127.62135314941406,8,0.0,0.03798231482505798
0.001,,,,,,,9,,
,500.0,1.0,86.620361328125,0,20.0,3751.54345703125,9,0.0,0.0428822860121727
0.001,,,,,,,10,,
,500.0,1.0,4.469455242156982,0,20.0,9.988016128540039,10,0.0,0.0428822860121727
0.001,,,,,,,11,,
,500.0,1.0,7.0315961837768555,0,20.0,24.72167205810547,11,0.0,0.04854043945670128
0.001,,,,,,,12,,
,500.0,1.0,46.74474334716797,0,20.0,1092.5355224609375,12,0.0,0.05155673995614052
0.001,,,,,,,13,,
,500.0,1.0,28.51023292541504,0,20.0,406.41668701171875,13,0.0,0.05155673995614052
0.001,,,,,,,14,,
,500.0,1.0,118.62924194335938,0,20.0,7036.4482421875,14,0.0,0.05852114409208298
0.001,,,,,,,15,,
,500.0,1.0,34.74237060546875,0,20.0,603.51611328125,15,0.0,0.05852114409208298
0.001,,,,,,,16,,
,500.0,1.0,143.6154022216797,0,20.0,10312.693359375,16,0.0,0.06850738078355789
0.001,,,,,,,17,,
,500.0,1.0,140.13995361328125,0,20.0,9819.6025390625,17,0.0,0.07943209260702133
0.001,,,,,,,18,,
,500.0,1.0,12.922786712646484,0,20.0,83.49920654296875,18,0.0,0.08142710477113724
0.001,,,,,,,19,,
,500.0,1.0,122.30492401123047,0,20.0,7479.248046875,19,0.0,0.08432915061712265
0.001,,,,,,,20,,
,500.0,1.0,54.83741760253906,0,20.0,1503.5711669921875,20,0.0,0.08271969854831696
0.001,,,,,,,21,,
,500.0,1.0,187.7892303466797,0,20.0,17632.3984375,21,0.0,0.0816386416554451
0.001,,,,,,,22,,
,500.0,1.0,101.49339294433594,0,20.0,5150.45458984375,22,0.0,0.0816386342048645
0.001,,,,,,,23,,
,500.0,1.0,68.35273742675781,0,20.0,2336.04833984375,23,0.0,0.08332331478595734
0.001,,,,,,,24,,
,500.0,1.0,119.8197250366211,0,20.0,7178.3828125,24,0.0,0.08432164788246155
0.001,,,,,,,25,,
,500.0,1.0,10.63161563873291,0,20.0,56.515628814697266,25,0.0,0.08536277711391449
0.001,,,,,,,26,,
,500.0,1.0,114.6454849243164,0,20.0,6571.7939453125,26,0.0,0.0883982926607132
0.001,,,,,,,27,,
,500.0,1.0,128.5859375,0,20.0,8267.171875,27,0.0,0.09114193916320801
0.001,,,,,,,28,,
,500.0,1.0,157.52561950683594,0,20.0,12407.16015625,28,0.0,0.09332144260406494
0.001,,,,,,,29,,
,500.0,1.0,100.15665435791016,0,20.0,5015.677734375,29,0.0,0.09298346936702728
0.001,,,,,,,30,,
,500.0,1.0,94.02767944335938,0,20.0,4420.6025390625,30,0.0,0.0921226516366005
0.001,,,,,,,31,,
,500.0,1.0,133.4401397705078,0,20.0,8903.1357421875,31,0.0,0.09180369973182678
