lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
0.001,0.01,0.001,99,,,,,,,,,,,,,,,,,,,,,,,,
,,,99,0.13528431951999664,0.4603573679924011,0.07771819084882736,0.027134792879223824,0.09877272695302963,0.149701327085495,0.008774678222835064,0.0227135568857193,17.73586654663086,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1769.0,0,,
0.001,0.01,0.001,199,,,,,,,,,,,,,,,,,,,,,,,,
,,,199,0.12463477998971939,0.4481487572193146,0.06911623477935791,0.05331280454993248,0.0779167041182518,0.1095370426774025,0.008683246560394764,0.0292180385440588,31.28848648071289,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1885.0,0,,
0.001,0.01,0.001,299,,,,,,,,,,,,,,,,,,,,,,,,
,,,299,0.10349714756011963,0.39164304733276367,0.05421286076307297,0.0490439273416996,0.05556552857160568,0.0883452519774437,0.012946258299052715,0.03046192228794098,55.98704528808594,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2014.0,0,,
0.001,0.01,0.001,399,,,,,,,,,,,,,,,,,,,,,,,,
,,,399,0.07655766606330872,0.33581411838531494,0.04484573006629944,0.04588437080383301,0.03763125464320183,0.07025530189275742,0.01224587857723236,0.03145343065261841,78.91087341308594,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2171.0,0,,
0.001,0.01,0.001,499,,,,,,,,,,,,,,,,,,,,,,,,
,,,499,0.07599866390228271,0.3256850242614746,0.04568200558423996,0.04486999660730362,0.03554162383079529,0.06380471587181091,0.012783734127879143,0.029770895838737488,95.72843170166016,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2351.0,0,,
0.0009762902393018333,0.009762902393018327,0.0009762902393018333,599,,,,,,,,,,,,,,,,,,,,,,,,
,,,599,0.0818818211555481,0.3424142599105835,0.0498487688601017,0.0445658415555954,0.045165929943323135,0.06180986389517784,0.013147322461009026,0.030499517917633057,113.29248809814453,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2505.0,0,,
0.0009529116391387575,0.009529116391387564,0.0009529116391387575,699,,,,,,,,,,,,,,,,,,,,,,,,
,,,699,0.07934368401765823,0.31978368759155273,0.045375674962997437,0.04145139083266258,0.028904058039188385,0.05544709786772728,0.011067917570471764,0.03127020597457886,129.694091796875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2717.0,0,,
0.0009300928714144201,0.00930092871414419,0.0009300928714144201,799,,,,,,,,,,,,,,,,,,,,,,,,
,,,799,0.07462829351425171,0.319223552942276,0.04276706278324127,0.04107777401804924,0.03536504507064819,0.0527542382478714,0.014373423531651497,0.031493041664361954,141.2676544189453,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2881.0,0,,
0.0009078205301781964,0.009078205301781956,0.0009078205301781964,899,,,,,,,,,,,,,,,,,,,,,,,,
